0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
151340909,Aftabnagar,23.768518,90.425641,Philipines,12.879721,121.774017,Chicken,"watching movies,series",Entrepreneur,10:00,,,,,,,,,,,,,,,
151340910,Goran,12.16007,7.87021,Kashmir,33.778175,76.576172,Kacchi,playing cricket,bcs,12:00,,,,,,,,,,,,,,,
151340911,Tejgaon,23.759815,90.391319,Bandarban,21.4311,92.3686,Pasta,Watching Movies,Travelling,10:00,,,,,,,,,,,,,,,
151340912,Mohammadpur,23.765844,90.35836,Saint Martin,20.623345,92.323007,Biriyani,listening music,S/w enginner,11:00,,,,,,,,,,,,,,,
151340913,Rampura,23.70731,90.41548,Bandarban,21.4311,92.3686,Pasta,Reading Books,Travelling,9:00,,,,,,,,,,,,,,,
151340914,Mirpur,33.24981,74.26156,USA,37.09024,-95.712891 Biriyani,,Reading Books,Teaching,7:00,,,,,,,,,,,,,,,
151340916,Rampura,23.70731,90.41548,Saint martin,20.62301751,92.32021205,Hilsa,Watching movies,Web developer,10:00,,,,,,,,,,,,,,,
151340917,Maniknagar,23.70731,90.41548,Ladakh,35.447601,76.274803,gorur mangsho,watch Movies,still in progress,8:00,,,,,,,,,,,,,,,
151340918,India,24.15966117,90.64846158,Comilla,23.450012,91.199997,Biriyani,watching tv shows,BCS,9:00,,,,,,,,,,,,,,,
151340919,Uttara,23.873751,90.396454,Kashmir,34.083656,74.797371,Kacchi,"tv series, online gaming",Higher Study,11:00,,,,,,,,,,,,,,,
151340920,Khilgaon,23.743617,90.426681,lecco,45.852982,9.39007,Kacchi,Graphics Design,Ai Architecture,11:00,,,,,,,,,,,,,,,
,Current Place,,,Place of Interest,,,Food you like most,Leisure time Activity,Future Plan,Typically your days are started at:,,,,,,,,,,,,,,,
,Place Name,Latitude,Longitude,Place Name,Latitude,Longitude,,,,,,,,,,,,,,,,,,,
151340949,kunipara,20.53829,86.30937,Bandarban,21.8311,92.368629,coldcoffe,"Music,reading Quran",job,late Riser,,,,,,,,,,,,,,,
151340950,Khilgaon,23.70731,90.41548,Bandarban,21.8311,92.368629,Kabab,Watching movies,Filmmaker,Late Riser,,,,,,,,,,,,,,,
151340951,Matikata,23.822547,90.393463,Bandarban,21.8311,92.368629,Kacchi Biriany,Watching movies,Software Engineer,Late Riser,,,,,,,,,,,,,,,
151340952,Banasree,23.763241,90.434848,Saint Martin,20.9232,92.2676,Fish Barbecue,Jogging,Job,Early Riser,,,,,,,,,,,,,,,
151340954,Mirpur,23.813857,90.36629,Home,23.813857,90.36629,Kacchi Biriyani,Sleeping,Software Developer,Late Riser,,,,,,,,,,,,,,,
151340955,Moghbazar,23.740986,90.411453,Bandarban,21.8311,92.368629,Biriyani,Watching TV,Job,Late Riser,,,,,,,,,,,,,,,
151340956,Malibagh,23.7436442,90.4152239,Saint Martin,20.6237016,92.3233948,Bhaat,Covering songs,Finding happiness,Late Riser,,,,,,,,,,,,,,,
151340957,Shewrapara,23.790041,90.36656,Rangamati,22.33037,91.832626,"Ice cream, Pasta",Listening to music,Software Developer,Late Riser,,,,,,,,,,,,,,,
151340958,Luxmibazar,23.70731,90.41548,Cox's Bazar,39.059479,-80.873016,Biriyani,Playing Cricket,Businessman,Early Riser,,,,,,,,,,,,,,,
151340959,Luxmibazar,23.70731,90.41548,Bandarban,21.8311,92.368629,Laddu,Watching Movie,To do investment,Late Riser,,,,,,,,,,,,,,,
151340960,Banasree,23.70731,90.415482,Bandarban,21.8311,92.368629,Egg,Sleeping,To do business,Late riser,,,,,,,,,,,,,,,
151340961,Niketon Bazar,23.743855,90.369049,Cox's Bazar,39.059479,-80.873016,Burger,Watching Movies,Job,Late Riser,,,,,,,,,,,,,,,
151340962,Mohanagar,23.764509,90.413132,Saint Martin,20.9232,92.2676,"Beef,chicken","Sports,movies,songs",Job,Late Riser,,,,,,,,,,,,,,,
151340963,Shajahanpur,23.7448816,90.426077,Saint Martin,20.6237016,92.3233948,Biriyani,All,Higher Study,Early Riser,,,,,,,,,,,,,,,
151340964,Kunipara,20.53829,86.30937,"Saint Martin,countryside,close to nature",20.6237016,92.3233948,Kacchi Biriany,"Thriller,Non-Fiction novels,Movies,musics",Still Searching,Late Riser,,,,,,,,,,,,,,,
151340966,Shantinagar,23.70731,90.41548,Sylhet,24.90356,91.87361,Beef,Sleeping,Software Engineer,Early Riser,,,,,,,,,,,,,,,
151340967,Rampura,23.767661,90.423256,Bandarban,21.8311,92.368629,,Watching TV Series,Job,Late Riser,,,,,,,,,,,,,,,
151340968,Uttara,23.877386,90.390466,Coxs Bazar,39.059479,-80.873016,Sea Food,Watch Tv Series,Higher Studies,Late Riser,,,,,,,,,,,,,,,
151340969,Mirpur,23.808052,90.371107,Saint Martin,20.6237016,92.3233948,Pasta,Crafting,Higher studies and business,Late riser,,,,,,,,,,,,,,,
151340970,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Burger,"Social Media, TV Series",Job,Late Riser,,,,,,,,,,,,,,,
151340971,Nikunju-2,23.763889,90.406469,Kuakata,21.823855,90.122472,Kacchi Biriyani,Watching Movie,Entrepreneur,Late Riser,,,,,,,,,,,,,,,
151340972,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Junk Food,"sleep,Tv series",Software Developer,Late Riser,,,,,,,,,,,,,,,
151340973,Uttara,23.875854,90.379547,Bandarban,21.8311,92.368629,Beef curry,Watching movie series,Haven't decieded yet,Late Riser,,,,,,,,,,,,,,,
151340974,Mirpur,33.249809,74.261559,Bandarban,21.8311,92.368629,Burger,Passing time with friends,Bussinessman,Depends,,,,,,,,,,,,,,,
151340975,Happy Homes,23.7665725,90.4082056,Saint Martin,20.9232,92.2676,Faluda,reading scientific book,Machine Learning Research,Late Riser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Place,,,Place of interest,,,Food you like most,Leisure time activity ,Future plan,Typically your days are started at: ,,,,,,,,,,,,,,,
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,,,,,,,,,,,,,,,,
151341035,Green Road,46.09124,-67.755478,Madrid,40.416775,-3.70379,Nothing Specific,Playing Games,Higher Study,11:00 AM,,,,,,,,,,,,,,,
121440946,Mirpur,23.838115,90.36452,New York,40.712776,-74.005974,Nothing Specific,Listening songs,Higher Study,7:00 AM,,,,,,,,,,,,,,,
151341042,Modhubag,23.751242,90.409029,Kaaba,21.422487,39.826206,Orange,Watching Movie,Higher Study,7:30 AM,,,,,,,,,,,,,,,
151341043,Siddheswari,23.70731,90.41548,New York,40.712776,-74.005974,Nothing Specific,Watching Cricket,Higher Study,10:00 AM,,,,,,,,,,,,,,,
141440945,Dhanmondi,23.741067,90.364753,Columbia,36.133583,-95.951584,Nothing specific,Watching Movie,Higher Study,9:30 AM,,,,,,,,,,,,,,,
151341040,Niketan,23.77195,90.410318,Barcelona,41.385063,2.173404,Anything if cooked perfectly,Reading Books,Working on Machine Learning Field,12:00 PM,,,,,,,,,,,,,,,
