,Current Place,,,Place of interest,,,Food you like most,Leisure time activity,Future plan,Typically your days are started at:,Academic Result,Co-curricular Activities,Skill,Number of Achievement,Physical Exercise,Higher Study
,Name,Latitude,Longitude,Name,Latitude,Longitude,,,,,,,,,,
151340920,Khilgaon,23.743617,90.426681,lecco,45.852982,9.39007,Biriyani,Graphics Design,Ai Architecture,LR,2.67,None,Android,1,No,No
151340949,Kunapara,20.53829,86.30937,Bandarban,21.8311,92.368629,Cold Coffe,"Music, Reading Quran",Job,LR,2.89,None,Java,2,No,No
151340950,Khilgaon,23.70731,90.41548,Bandarban,21.8311,92.368629,Kabab,Movies,Film Maker,LR,2.87,None,Web Development,3,No,Yes
151340951,Matikata,23.822547,90.393463,Bandarban,21.8311,92.368629,Biriyani,Movies,Software Engineer,LR,2.78,None,Android,2,Yes,No
151340952,Banasree,23.763241,90.434848,Saint Martin,20.9232,92.2676,Fish Barbecue,Jogging,Job,ER,3.11,None,Android,1,Yes,Yes
151340954,Mirpur,23.813857,90.36629,Home,23.813857,90.36629,Biriyani,Sleeping,Software Developer,LR,3.45,None,None,3,Yes,Yes
151340955,Moghbazar,23.740986,90.411453,Bandarban,21.8311,92.368629,Biriyani,Movies,Job,LR,3.08,Club committee,Web Development,5,Yes,No
151340956,Malibagh,23.7436442,90.4152239,Saint Martin,20.6237016,92.3233948,Bhaat,Covering songs,Finding happiness,LR,3.33,None,None,1,Yes,No
151340957,Shewrapara,23.790041,90.36656,Rangamati,22.33037,91.832626,"Ice cream, Pasta",Music,Software Developer,LR,3.16,None,None,1,Yes,No
151340958,Luxmibazar,23.70731,90.41548,Cox's Bazar,39.059479,-80.873016,Biriyani,Cricket,Businessman,ER,2.97,None,Java,1,No,Yes
151340959,Luxmibazar,23.70731,90.41548,Bandarban,21.8311,92.368629,Laddu,Movies,Businessman,LR,3.18,None,Networking,1,No,Yes
151340960,Banasree,23.70731,90.415482,Bandarban,21.8311,92.368629,Egg,Sleeping,Businessman,LR,2.8,Club committee,Android,1,Yes,No
151340961,Niketon ,23.743855,90.369049,Cox's Bazar,39.059479,-80.873016,Burger,Movies,Job,LR,3.36,None,Java,2,No,No
151340962,Mohanagar,23.764509,90.413132,Saint Martin,20.9232,92.2676,"Beef,chicken","Sports, Movies, Songs",Job,LR,3.65,None,Java,3,Yes,No
151340963,Shahjahanpur,23.7448816,90.426077,Saint Martin,20.6237016,92.3233948,Biriyani,All,Higher Study,ER,3.18,None,Web Development,1,No,Yes
151340964,Kunipara,20.53829,86.30937,Saint Martin,20.6237016,92.3233948,Biriyani,"Thriller, Non-Fiction novels, Movies, Musics",Still Searching,LR,3.07,None,None,2,No,No
151340966,Shantinagar,23.70731,90.41548,Sylhet,24.90356,91.87361,Beef,Sleeping,Software Engineer,ER,3.35,Club committee,Android,3,Yes,Yes
151340967,Rampura,23.767661,90.423256,Bandarban,21.8311,92.368629,Biriyani,TV Series,Job,LR,3.25,Club committee,None,1,No,Yes
151340968,Uttara,23.877386,90.390466,Coxs Bazar,39.059479,-80.873016,Sea Food,Tv Series,Higher Studies,LR,2.67,Club committee,Web Development,2,Yes,Yes
151340969,Mirpur,23.808052,90.371107,Saint Martin,20.6237016,92.3233948,Pasta,Crafting,Higher studies and business,LR,2.89,Club committee,Web Development,2,No,Yes
151340970,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Burger, TV Series,Job,LR,2.87,None,Java,2,No,No
151340971,Nikunju,23.763889,90.406469,Kuakata,21.823855,90.122472,Biriyani,Movies,Entrepreneur,LR,2.78,None,Web Development,3,No,Yes
151340972,Azimpur,24.098379,90.328712,Saint Martin,20.6237016,92.3233948,Junk Food,Tv Series,Software Developer,LR,3.11,None,Java,3,Yes,No
151340973,Uttara,23.875854,90.379547,Bandarban,21.8311,92.368629,Beef curry,Movies,Businessman,LR,3.45,None,Android,2,Yes,No
151340974,Mirpur,33.249809,74.261559,Bandarban,21.8311,92.368629,Burger,Movies,Bussinessman,LR,3.08,None,Java,3,No,Yes
151340975,Happy Homes,23.7665725,90.4082056,Saint Martin,20.9232,92.2676,Faluda,Movies,Machine Learning Research,LR,3.33,None,Networking,1,No,Yes
151341035,Green Road,46.09124,-67.755478,Madrid,40.416775,-3.70379,Nothing Specific,Playing Games,Higher Study,LR,3.16,None,Android,1,No,Yes
121440946,Mirpur,23.838115,90.36452,New York,40.712776,-74.005974,Nothing Specific,Music,Higher Study,ER,2.97,Club committee,Java,2,No,Yes
151341042,Modhubag,23.751242,90.409029,Kaaba,21.422487,39.826206,Orange,Movies,Higher Study,ER,3.18,Club committee,Java,3,Yes,Yes
